Species,Island_type,ecomorph,geo_ecomorph,Female_SVL,Male_SVL
A_acutus,Anolis_acutus,SmallIsland,NA,0,49,67
A_ahli,Anolis_ahli,LargeIsland,TrunkGround,1,52.4,61.7
A_alayoni,Anolis_alayoni,LargeIsland,Twig,2,38.9,46.8
A_alfaroi,Anolis_alfaroi,LargeIsland,GrassBush,2,33,36
A_aliniger,Anolis_aliniger,LargeIsland,TrunkCrown,1,57,60
A_allisoni,Anolis_allisoni,LargeIsland,TrunkCrown,1,75,100
A_allogus,Anolis_allogus,LargeIsland,TrunkGround,1,49,62.8
A_altae,Anolis_altae,Mainland,NA,3,52,52
A_altitudi,Anolis_altitudinalis,LargeIsland,TrunkCrown,1,51,52
A_alumina,Anolis_alumina,LargeIsland,GrassBush,2,37,40
A_alutaceu,Anolis_alutaceus,LargeIsland,GrassBush,2,37,37.5
A_angustic,Anolis_angusticeps,LargeIsland,Twig,2,47,53
A_annecten,Anolis_annectens,Mainland,NA,3,63.3,77.6
A_aquaticu,Anolis_aquaticus,Mainland,NA,3,62,71
A_argenteo,Anolis_argenteolus,LargeIsland,Unique,2,51,59.8
A_argillac,Anolis_argillaceus,LargeIsland,Unique,2,44.8,46.2
A_armouri,Anolis_armouri,LargeIsland,TrunkGround,1,56,67
A_auratus,Anolis_auratus,Mainland,NA,3,57,51
A_bahoruco,Anolis_bahorucoensis,LargeIsland,GrassBush,2,44,51
A_baleatus,Anolis_baleatus,LargeIsland,CrownGiant,2,148,180
A_baracoae,Anolis_baracoae,LargeIsland,CrownGiant,2,155,172
A_barahona,Anolis_barahonae,LargeIsland,CrownGiant,2,148,160
A_barbatus,Anolis_barbatus,LargeIsland,Unique,2,157,170
A_barbouri,Anolis_barbouri,LargeIsland,Unique,2,55,44
A_bartschi,Anolis_bartschi,LargeIsland,Unique,2,63.6,80
A_bimacula,Anolis_bimaculatus,SmallIsland,NA,0,70,123
A_biporcat,Anolis_biporcatus,Mainland,NA,3,105,105
A_bitectus,Anolis_bitectus,Mainland,NA,3,54.7,55.8
A_bremeri,Anolis_bremeri,LargeIsland,TrunkGround,1,52.3,72
A_breslini,Anolis_breslini,LargeIsland,TrunkGround,1,45,60
A_breviros,Anolis_brevirostris,LargeIsland,Trunk,2,45,51
A_brunnneu,Anolis_brunneus,SmallIsland,TrunkCrown,0,70,76
A_capito,Anolis_capito,Mainland,NA,3,97,91
A_caroline,Anolis_carolinensis,Mainland,NA,3,57.5,71
A_carpente,Anolis_carpenteri,Mainland,NA,3,45,41
A_caudalis,Anolis_caudalis,LargeIsland,Trunk,2,44,48
A_centrali,Anolis_centralis,LargeIsland,Unique,2,46,47.2
A_chamaele,Anolis_chamaeleonides,LargeIsland,Unique,2,172,177
A_chlorocy,Anolis_chlorocyanus,LargeIsland,TrunkCrown,1,54.8,80
A_christop,Anolis_christophei,LargeIsland,Unique,2,45,49
A_clivicol,Anolis_clivicola,LargeIsland,GrassBush,2,45,49.4
A_coelesti,Anolis_coelestinus,LargeIsland,TrunkCrown,1,60.3,84
A_confusus,Anolis_confusus,LargeIsland,TrunkGround,1,48,53
A_conspers,Anolis_conspersus,LargeIsland,TrunkCrown,1,47,76
A_cooki,Anolis_cooki,LargeIsland,TrunkGround,1,59,70
A_crassulu,Anolis_crassulus,Mainland,NA,3,56,53
A_cristate,Anolis_cristatellus,LargeIsland,TrunkGround,1,76,75
A_cupeyale,Anolis_cupeyalensis,LargeIsland,GrassBush,2,31,33
A_cupreus,Anolis_cupreus,Mainland,NA,3,51,57
A_cuvieri,Anolis_cuvieri,LargeIsland,CrownGiant,2,135,137
A_cyanople,Anolis_cyanopleurus,LargeIsland,GrassBush,2,36.2,43
A_cybotes,Anolis_cybotes,LargeIsland,TrunkGround,1,66,81
A_darlingt,Anolis_darlingtoni,LargeIsland,Twig,2,NA,74
A_desechen,Anolis_desechensis,SmallIsland,TrunkGround,0,45,57
A_distichu,Anolis_distichus,LargeIsland,Trunk,2,48,58
