Species,depth,GRN,inNEP
Sebastes_aleutianus,15.55634919,30.75,1
Sebastes_alutus,18.02775638,34.625,1
Sebastes_atrovirens,3.464101615,32.66666667,1
Sebastes_auriculatus,8.396427812,26.65,1
Sebastes_aurora,20,26.33333333,1
Sebastes_babcocki,15.8113883,30.16666667,1
Sebastes_baramenuke,NA,32.25,0
Sebastes_borealis,20,28.4,1
Sebastes_brevispinis,14.14213562,33.6,1
Sebastes_capensis,NA,30,0
Sebastes_carnatus,4.847679857,28.8,1
Sebastes_caurinus,6.92820323,28.36046512,1
Sebastes_chlorostictus,12.24744871,31.1,1
Sebastes_chrysomelas,3.082207001,27,1
Sebastes_ciliatus,9.027735043,33.2,1
Sebastes_constellatus,10.24695077,26.9,1
Sebastes_cortezi,NA,26.83333333,0
Sebastes_crameri,13.22875656,31.1,1
Sebastes_dallii,8.215838363,32.5,1
Sebastes_diploproa,16.80773631,32.2,1
Sebastes_elongatus,13.22875656,30.38888889,1
Sebastes_emphaeus,13.7113092,38.6,1
Sebastes_ensifer,11.40175425,35.9,1
Sebastes_entomelas,13.22875656,35.3125,1
Sebastes_eos,14.86606875,29,1
Sebastes_exsul,NA,31.66666667,0
Sebastes_fasciatus,NA,NA,0
Sebastes_flammeus,NA,NA,0
Sebastes_flavidus,11.61895004,35.55555556,1
Sebastes_gilli,15,28,1
Sebastes_glaucus,NA,36,0
Sebastes_goodei,14.14213562,35.78571429,1
Sebastes_helvomaculatus,15,27.6,1
Sebastes_hopkinsi,9.486832981,36.7,1
Sebastes_hubbsi,NA,17.75,0
Sebastes_inermis,NA,33,0
Sebastes_iracundus,NA,29.5,0
Sebastes_jordani,13.22875656,41.8,1
Sebastes_kiyomatsui,NA,NA,0
Sebastes_lentiginosus,8.660254038,36,1
Sebastes_levis,15,30,1
Sebastes_macdonaldi,14.8492424,36.83333333,1
Sebastes_maliger,6.633249581,29.6,1
Sebastes_matsubarae,NA,30,0
Sebastes_melanops,5.787918451,35.6,1
Sebastes_melanosema,17.70593121,35.75,1
Sebastes_melanostictus,16.94107435,31.8,1
Sebastes_melanostomus,20.61552813,30.6,1
Sebastes_mentella,NA,34,0
Sebastes_miniatus1,10,38.125,1
Sebastes_moseri,11.61895004,38,1
Sebastes_mystinus,5.700877125,35.38235294,1
Sebastes_nebulosus,7.03562364,27.7,1
Sebastes_nigrocinctus,12.84523258,28.2,1
Sebastes_notius,14.40486029,36.5,1
Sebastes_oblongus,NA,22.5,0
Sebastes_oculatus,NA,30.75,0
Sebastes_ovalis,10.24695077,31,1
Sebastes_owstoni,NA,36,0
Sebastes_pachycephalus,NA,23,0
Sebastes_paucispinis,12.24744871,28.5,1
Sebastes_phillipsi,14.96662955,36.75,1
Sebastes_pinniger,11.83215957,41.14285714,1
Sebastes_polyspinis,12.24744871,36,1
Sebastes_proriger,14.57737974,37.5,1
Sebastes_rastrelliger,1.732050808,21.6,1
Sebastes_reedi,15.08310313,32.83333333,1
Sebastes_rosaceus,9.746794345,31,1
Sebastes_rosenblatti,14.59451952,29.41666667,1
Sebastes_ruberrimus,11.64044673,25.4,1
Sebastes_rubrivinctus,11.40175425,28.375,1
Sebastes_rufinanus,13.78404875,37.25,1
Sebastes_rufus,15,33.95,1
Sebastes_saxicolaS,12.24744871,32,1
Sebastes_schlegelii,NA,25.25,0
Sebastes_scythropus,NA,31.5,0
Sebastes_semicinctus,10.24695077,38.2,1
Sebastes_serranoides,5.477225575,35.08333333,1
Sebastes_serriceps,4.898979486,27.6875,1
Sebastes_simulator,13.22875656,29.5,1
Sebastes_sinensis,NA,29,0
Sebastes_spinorbis,NA,31,0
Sebastes_steindachneri,NA,NA,0
Sebastes_taczanowskii,NA,35.75,0
Sebastes_thompsoni,NA,39.5,0
Sebastes_trivittatus,NA,30,0
Sebastes_umbrosus,7.245688373,34.9,1
Sebastes_variabilis,14.14213562,34.125,1
Sebastes_variegatus,14.14213562,37.8,1
Sebastes_viviparus,NA,NA,0
Sebastes_vulpes,NA,28.75,0
Sebastes_wilsoni,10.24695077,39,1
Sebastes_zacentrus,14.14213562,34.7,1
